पार्टी,पुरुष-M,महिला-M,जम्मा-M,men%-M,women%-M,पुरुष-DM,महिला-DM,जम्मा-DM,men%-DM,women%-DM,पुरुष-WP,महिला-WP,जम्मा-WP,men%-WP,women%-WP
अन्य,877,107,984,89,11,256,702,958,27,73,4674,279,4953,94,6
स्वतन्त्र,2025,82,2107,96,4,384,157,541,71,29,4107,177,4284,96,4
लोसपा,160,8,168,95,5,9,124,133,7,93,988,37,1025,96,4
जपा,170,10,180,94,6,9,155,164,5,95,1168,44,1212,96,4
जसपा,297,19,316,94,6,46,233,279,16,84,1910,54,1964,97,3
नेपाल कम्युनिष्ट पार्टी (एस,253,22,275,92,8,121,178,299,40,60,1984,59,2043,97,3
राप्रपा,489,38,527,93,7,51,377,428,12,88,2948,115,3063,96,4
माओवादी केन्द्र,395,23,418,94,6,182,308,490,37,63,4012,82,4094,98,2
नेपाली कांग्रेस,606,25,631,96,4,96,438,534,18,82,5972,79,6051,99,1
नेकपा एमाले,679,51,730,93,7,60,656,716,8,92,6341,117,6458,98,2